"FILE","MODEL","TOL","pLDDT","pTM","piTM","iScore","iRes","iCnt","RANK","FILE_MODEL","NUM_CLUSTERS","VIS","BURIED"
"bdld3_10_x6","model_1",0.09,91.54,0.8344,0.699,0.7235,107,115,1,"bdld3_10_x6_model_1",1,"CANDIDATE_low",5
"bdld3_10_x6","model_2",0.08,84.94,0.6276,0.5437,0.5161,104,109,2,"bdld3_10_x6_model_2",1,"CANDIDATE_low",6
"bdld3_10_x6","model_3",0.07,78.05,0.5441,0.4618,0.4591,88,87,3,"bdld3_10_x6_model_3",2,"CANDIDATE_low",3
"bdld3_10_x6","model_5",0.05,84.23,0.4806,0.3665,0.4382,87,92,4,"bdld3_10_x6_model_5",1,"linear",5
"bdld3_10_x6","model_4",4.59,67.35,0.2108,0.0105,2e-04,12,8,5,"bdld3_10_x6_model_4",6,"none",0
"bdld3_11_x6","model_1",0.08,85.88,0.6378,0.5582,0.5219,98,102,1,"bdld3_11_x6_model_1",2,"CANDIDATE_low",4
"bdld3_11_x6","model_5",0.08,89.72,0.5938,0.4883,0.5795,93,93,2,"bdld3_11_x6_model_5",1,"linear",5
"bdld3_11_x6","model_3",1.2,75.26,0.226,0.0794,0.0028,23,17,3,"bdld3_11_x6_model_3",6,"none",0
"bdld3_11_x6","model_4",2.3,75.08,0.2187,0,0,0,0,4,"bdld3_11_x6_model_4",6,"none",0
"bdld3_11_x6","model_2",5.34,73.43,0.2176,0.0099,1e-04,5,4,5,"bdld3_11_x6_model_2",6,"none",0
"bdld3_12_x6","model_2",0.1,88.36,0.6704,0.5949,0.5847,92,100,1,"bdld3_12_x6_model_2",2,"CANDIDATE_low",3
"bdld3_12_x6","model_1",0.07,86.91,0.4473,0.346,0.3986,76,75,2,"bdld3_12_x6_model_1",1,"linear",5
"bdld3_12_x6","model_5",0.07,85.26,0.4275,0.3549,0.4056,84,88,3,"bdld3_12_x6_model_5",1,"linear",5
"bdld3_12_x6","model_3",0.09,82.42,0.3769,0.3031,0.2951,76,74,4,"bdld3_12_x6_model_3",2,"linear",5
"bdld3_12_x6","model_4",0.09,80.6,0.3079,0.2378,0.232,80,68,5,"bdld3_12_x6_model_4",1,"linear",5
"bdld3_13_x6","model_1",0.08,87.76,0.8462,0.7353,0.7411,108,123,1,"bdld3_13_x6_model_1",1,"CANDIDATE_low",6
"bdld3_13_x6","model_4",0.07,84.94,0.6415,0.4519,0.536,77,65,2,"bdld3_13_x6_model_4",1,"linear",5
"bdld3_13_x6","model_5",0.2,84.49,0.6086,0.47,0.5512,98,86,3,"bdld3_13_x6_model_5",1,"linear",5
"bdld3_13_x6","model_3",0.09,81.53,0.4953,0.3729,0.4539,80,70,4,"bdld3_13_x6_model_3",1,"linear",5
"bdld3_13_x6","model_2",0.38,78.1,0.368,0.3134,0.2338,61,44,5,"bdld3_13_x6_model_2",4,"linear",3
"bdld3_14_x6","model_1",0.08,93.14,0.8568,0.742,0.7482,108,109,1,"bdld3_14_x6_model_1",1,"CANDIDATE_low",5
"bdld3_14_x6","model_3",0.08,89.62,0.773,0.6716,0.6588,111,115,2,"bdld3_14_x6_model_3",1,"CANDIDATE_low",6
"bdld3_14_x6","model_2",0.08,90.37,0.7315,0.6105,0.6274,101,100,3,"bdld3_14_x6_model_2",3,"CANDIDATE_low",3
"bdld3_14_x6","model_5",0.1,90.04,0.6582,0.4993,0.6114,96,105,4,"bdld3_14_x6_model_5",1,"linear",5
"bdld3_14_x6","model_4",0.09,90.5,0.6364,0.4605,0.5817,87,92,5,"bdld3_14_x6_model_4",1,"linear",5
"bdld3_15_x6","model_2",0.1,91.59,0.6975,0.5191,0.6135,86,82,1,"bdld3_15_x6_model_2",1,"linear",5
"bdld3_15_x6","model_1",0.09,88.7,0.6789,0.4901,0.5834,88,78,2,"bdld3_15_x6_model_1",1,"linear",5
"bdld3_15_x6","model_5",0.07,86.96,0.6239,0.4362,0.5203,83,81,3,"bdld3_15_x6_model_5",1,"linear",5
"bdld3_15_x6","model_3",0.07,87.13,0.5349,0.3669,0.4409,69,69,4,"bdld3_15_x6_model_3",1,"linear",5
"bdld3_15_x6","model_4",0.09,82.8,0.4775,0.3218,0.3975,80,75,5,"bdld3_15_x6_model_4",1,"linear",5
"bdld3_16_x6","model_2",0.07,80.47,0.4924,0.4143,0.3506,89,73,1,"bdld3_16_x6_model_2",2,"CANDIDATE_low",4
"bdld3_16_x6","model_5",0.26,79.13,0.3971,0.2908,0.3031,73,69,2,"bdld3_16_x6_model_5",1,"linear",5
"bdld3_16_x6","model_1",0.07,77.89,0.2982,0.1215,0.0978,34,22,3,"bdld3_16_x6_model_1",6,"none",0
"bdld3_16_x6","model_3",5.64,71.62,0.2367,0.0271,8e-04,12,8,4,"bdld3_16_x6_model_3",6,"none",0
"bdld3_16_x6","model_4",3.86,62.63,0.211,0.0075,1e-04,6,4,5,"bdld3_16_x6_model_4",6,"none",0
"bdld3_17_x6","model_1",0.09,94.68,0.8855,0.7958,0.803,122,148,1,"bdld3_17_x6_model_1",1,"CANDIDATE",8
"bdld3_17_x6","model_4",0.08,89.56,0.665,0.6088,0.703,118,131,2,"bdld3_17_x6_model_4",1,"CANDIDATE_low",7
"bdld3_17_x6","model_5",0.07,89.89,0.6345,0.5581,0.6576,113,126,3,"bdld3_17_x6_model_5",1,"linear",5
"bdld3_17_x6","model_3",0.05,85.38,0.5111,0.4422,0.5334,104,113,4,"bdld3_17_x6_model_3",1,"linear",5
"bdld3_17_x6","model_2",0.06,81.59,0.4213,0.3767,0.3269,94,91,5,"bdld3_17_x6_model_2",2,"CANDIDATE_low",4
"bdld3_18_x6","model_5",0.41,66.46,0.3183,0.2711,0.4884,154,199,1,"bdld3_18_x6_model_5",1,"OTHER",4
"bdld3_18_x6","model_3",2.01,60.54,0.2861,0.219,0.3067,128,175,2,"bdld3_18_x6_model_3",3,"DIMER",3
"bdld3_18_x6","model_4",0.51,65.41,0.2829,0.224,0.4599,104,113,3,"bdld3_18_x6_model_4",3,"DIMER",3
"bdld3_18_x6","model_1",0.14,65.22,0.2712,0.2188,0.2912,126,113,4,"bdld3_18_x6_model_1",3,"DIMER",3
"bdld3_18_x6","model_2",9.51,56.58,0.2318,0.2253,0.0741,96,123,5,"bdld3_18_x6_model_2",2,"OTHER",5
"bdld3_19_x6","model_4",0.1,88.37,0.7569,0.5849,0.6764,110,105,1,"bdld3_19_x6_model_4",1,"linear",5
"bdld3_19_x6","model_1",0.08,91.26,0.6954,0.5619,0.6854,102,107,2,"bdld3_19_x6_model_1",1,"linear",5
"bdld3_19_x6","model_3",0.04,88.59,0.6077,0.508,0.6164,100,110,3,"bdld3_19_x6_model_3",1,"linear",5
"bdld3_19_x6","model_5",0.08,85.8,0.4759,0.3622,0.394,74,74,4,"bdld3_19_x6_model_5",1,"linear",5
"bdld3_19_x6","model_2",0.06,82.74,0.3655,0.2933,0.2959,84,80,5,"bdld3_19_x6_model_2",1,"linear",5
"bdld3_20_x6","model_3",3.02,64.55,0.2334,0.0985,0.0046,25,18,1,"bdld3_20_x6_model_3",6,"none",0
"bdld3_20_x6","model_2",1.77,58.49,0.2288,0.1474,0.012,33,24,2,"bdld3_20_x6_model_2",6,"linear",1
"bdld3_20_x6","model_5",2.37,62.1,0.222,0.0496,0.0011,21,14,3,"bdld3_20_x6_model_5",6,"none",0
"bdld3_20_x6","model_1",2,65.23,0.2204,0.0137,2e-04,9,6,4,"bdld3_20_x6_model_1",6,"none",0
"bdld3_20_x6","model_4",4.75,57.98,0.2033,0.0218,3e-04,13,7,5,"bdld3_20_x6_model_4",6,"none",0
"bdld3_21_x6","model_1",0.06,90.33,0.731,0.6161,0.6641,99,91,1,"bdld3_21_x6_model_1",1,"CANDIDATE_low",6
"bdld3_21_x6","model_4",0.07,92.33,0.7014,0.5217,0.6653,80,73,2,"bdld3_21_x6_model_4",1,"linear",5
"bdld3_21_x6","model_5",0.06,83.45,0.4707,0.3613,0.4364,85,68,3,"bdld3_21_x6_model_5",1,"linear",5
"bdld3_21_x6","model_3",0.24,80.74,0.3805,0.2882,0.295,69,54,4,"bdld3_21_x6_model_3",3,"linear",5
"bdld3_21_x6","model_2",19.29,75.58,0.2625,0.2055,0.056,54,40,5,"bdld3_21_x6_model_2",5,"linear",3
"bdld3_22_x6","model_1",0.08,90.93,0.647,0.4293,0.5464,60,55,1,"bdld3_22_x6_model_1",1,"linear",5
"bdld3_22_x6","model_5",0.09,81.26,0.396,0.2714,0.2923,56,50,2,"bdld3_22_x6_model_5",3,"linear",4
"bdld3_22_x6","model_2",0.87,76.94,0.3767,0.3057,0.141,53,47,3,"bdld3_22_x6_model_2",6,"CANDIDATE_low",0
"bdld3_22_x6","model_4",0.24,82.22,0.3592,0.239,0.2943,59,54,4,"bdld3_22_x6_model_4",3,"linear",5
"bdld3_22_x6","model_3",2,73.09,0.2651,0.1567,0.038,38,23,5,"bdld3_22_x6_model_3",6,"linear",0
"bdld3_23_x6","model_5",0.06,90.57,0.6537,0.5475,0.6714,105,115,1,"bdld3_23_x6_model_5",1,"linear",5
"bdld3_23_x6","model_4",0.06,91.04,0.647,0.5337,0.6584,104,117,2,"bdld3_23_x6_model_4",1,"linear",5
"bdld3_23_x6","model_1",0.1,87.31,0.621,0.5572,0.535,96,101,3,"bdld3_23_x6_model_1",2,"CANDIDATE_low",4
"bdld3_23_x6","model_3",0.06,85,0.5111,0.4045,0.4761,80,88,4,"bdld3_23_x6_model_3",1,"linear",5
"bdld3_23_x6","model_2",0.31,83.74,0.4123,0.3436,0.3415,81,79,5,"bdld3_23_x6_model_2",1,"linear",5
"bdld3_24_x6","model_5",0.07,94.58,0.8054,0.6489,0.7479,94,94,1,"bdld3_24_x6_model_5",1,"linear",5
"bdld3_24_x6","model_4",0.07,94.73,0.791,0.6356,0.7419,93,91,2,"bdld3_24_x6_model_4",1,"linear",5
"bdld3_24_x6","model_1",0.07,91.12,0.7347,0.6162,0.6937,105,107,3,"bdld3_24_x6_model_1",1,"linear",5
"bdld3_24_x6","model_3",0.1,86.85,0.5394,0.4631,0.5317,96,104,4,"bdld3_24_x6_model_3",1,"linear",5
"bdld3_24_x6","model_2",0.08,86.7,0.4602,0.3734,0.4193,78,70,5,"bdld3_24_x6_model_2",1,"linear",5
"bdld3_25_x6","model_1",0.09,91.04,0.8175,0.7268,0.7254,110,132,1,"bdld3_25_x6_model_1",1,"CANDIDATE_low",7
"bdld3_25_x6","model_3",0.08,91.29,0.812,0.6636,0.6945,100,119,2,"bdld3_25_x6_model_3",1,"CANDIDATE_low",7
"bdld3_25_x6","model_2",0.09,82.93,0.5642,0.4904,0.4532,99,105,3,"bdld3_25_x6_model_2",1,"CANDIDATE_low",4
"bdld3_25_x6","model_4",0.08,81.55,0.3684,0.2883,0.3446,75,77,4,"bdld3_25_x6_model_4",1,"linear",5
"bdld3_25_x6","model_5",0.06,79.95,0.3369,0.2564,0.2193,74,70,5,"bdld3_25_x6_model_5",1,"linear",5
"bdld3_26_x6","model_1",0.1,91.56,0.8095,0.7372,0.7034,104,124,1,"bdld3_26_x6_model_1",1,"CANDIDATE_low",6
"bdld3_26_x6","model_3",0.07,82.05,0.5631,0.4881,0.4955,90,95,2,"bdld3_26_x6_model_3",2,"CANDIDATE_low",4
"bdld3_26_x6","model_2",0.09,78.24,0.419,0.3468,0.2234,72,62,3,"bdld3_26_x6_model_2",5,"CANDIDATE_low",2
"bdld3_26_x6","model_5",0.07,81.49,0.397,0.3119,0.3219,79,79,4,"bdld3_26_x6_model_5",1,"linear",5
"bdld3_26_x6","model_4",0.09,79.69,0.3224,0.2521,0.2853,68,63,5,"bdld3_26_x6_model_4",2,"linear",5
"bdld3_27_x6","model_5",0.09,92.42,0.8647,0.7462,0.7552,112,141,1,"bdld3_27_x6_model_5",1,"CANDIDATE",8
"bdld3_27_x6","model_3",0.05,89.64,0.8059,0.6848,0.6845,105,120,2,"bdld3_27_x6_model_3",1,"CANDIDATE",9
"bdld3_27_x6","model_1",0.05,86.6,0.6667,0.6109,0.6076,99,115,3,"bdld3_27_x6_model_1",1,"CANDIDATE_low",6
"bdld3_27_x6","model_2",0.08,79.56,0.4718,0.4138,0.3475,89,85,4,"bdld3_27_x6_model_2",4,"CANDIDATE_low",2
"bdld3_27_x6","model_4",2.65,75.37,0.213,0,0,0,0,5,"bdld3_27_x6_model_4",6,"none",0
"bdld3_28_x6","model_4",0.05,92.39,0.8418,0.7438,0.7503,116,144,1,"bdld3_28_x6_model_4",1,"CANDIDATE",8
"bdld3_28_x6","model_1",0.09,91.25,0.7626,0.657,0.6708,96,108,2,"bdld3_28_x6_model_1",1,"CANDIDATE",6
"bdld3_28_x6","model_3",0.05,85.82,0.6886,0.5957,0.6095,98,114,3,"bdld3_28_x6_model_3",1,"CANDIDATE_low",5
"bdld3_28_x6","model_2",0.07,83.04,0.5692,0.487,0.4546,93,98,4,"bdld3_28_x6_model_2",2,"CANDIDATE_low",4
"bdld3_28_x6","model_5",0.08,80.92,0.3767,0.3014,0.2799,76,74,5,"bdld3_28_x6_model_5",1,"linear",5
"bdld3_29_x6","model_1",0.35,75.34,0.3526,0.3101,0.6826,172,195,1,"bdld3_29_x6_model_1",3,"DIMER",3
"bdld3_29_x6","model_4",0.49,66.37,0.3099,0.2603,0.507,167,218,2,"bdld3_29_x6_model_4",1,"DIMER",3
"bdld3_29_x6","model_3",5.82,61.28,0.2974,0.2481,0.4148,176,234,3,"bdld3_29_x6_model_3",1,"DIMER",4
"bdld3_29_x6","model_2",2.26,51.66,0.1897,0.1354,0.0178,45,36,4,"bdld3_29_x6_model_2",5,"OTHER",1
"bdld3_29_x6","model_5",4.39,45,0.1596,0.1252,0.0126,38,31,5,"bdld3_29_x6_model_5",5,"OTHER",1
"bdld3_30_x6","model_1",0.05,89.99,0.754,0.6284,0.6058,78,82,1,"bdld3_30_x6_model_1",3,"CANDIDATE_low",3
"bdld3_30_x6","model_4",0.07,91.98,0.6317,0.4814,0.583,83,95,2,"bdld3_30_x6_model_4",1,"linear",5
"bdld3_30_x6","model_5",0.09,86.23,0.4676,0.3805,0.4425,92,102,3,"bdld3_30_x6_model_5",1,"linear",5
"bdld3_30_x6","model_2",0.05,81.58,0.3169,0.2582,0.1842,75,63,4,"bdld3_30_x6_model_2",2,"linear",4
"bdld3_30_x6","model_3",0.09,77.76,0.2756,0.007,0.001,7,4,5,"bdld3_30_x6_model_3",6,"none",0
"bdld3_31_x6","model_1",0.09,95.88,0.9179,0.7899,0.8068,93,106,1,"bdld3_31_x6_model_1",3,"CANDIDATE_low",3
"bdld3_31_x6","model_3",0.06,92.4,0.8456,0.7275,0.7085,88,100,2,"bdld3_31_x6_model_3",3,"CANDIDATE_low",3
"bdld3_31_x6","model_5",0.1,89.78,0.7937,0.6675,0.6677,103,120,3,"bdld3_31_x6_model_5",2,"CANDIDATE_low",4
"bdld3_31_x6","model_2",0.08,84.19,0.5941,0.5031,0.4358,79,78,4,"bdld3_31_x6_model_2",3,"CANDIDATE_low",3
"bdld3_31_x6","model_4",0.06,90.76,0.5835,0.459,0.5693,89,95,5,"bdld3_31_x6_model_4",1,"linear",5
"bdld3_32_x6","model_1",0.06,94.11,0.8777,0.712,0.751,91,97,1,"bdld3_32_x6_model_1",3,"CANDIDATE_low",3
"bdld3_32_x6","model_3",0.1,91.45,0.6577,0.4874,0.5992,75,80,2,"bdld3_32_x6_model_3",1,"linear",5
"bdld3_32_x6","model_4",0.07,90.58,0.5877,0.4425,0.5549,86,101,3,"bdld3_32_x6_model_4",1,"linear",5
"bdld3_32_x6","model_5",0.07,85.57,0.4387,0.3534,0.4372,90,98,4,"bdld3_32_x6_model_5",1,"linear",5
"bdld3_32_x6","model_2",0.07,82.06,0.3212,0.2639,0.1891,73,64,5,"bdld3_32_x6_model_2",2,"linear",4
"bdld3_33_x6","model_2",0.08,88.86,0.7038,0.6046,0.5771,99,94,1,"bdld3_33_x6_model_2",3,"CANDIDATE_low",3
"bdld3_33_x6","model_1",0.06,81.98,0.3987,0.2895,0.2174,40,32,2,"bdld3_33_x6_model_1",6,"linear",0
"bdld3_33_x6","model_3",0.13,76.63,0.3229,0.2381,0.0897,47,35,3,"bdld3_33_x6_model_3",6,"linear",1
"bdld3_33_x6","model_5",0.06,78.26,0.3216,0.2426,0.1826,62,58,4,"bdld3_33_x6_model_5",2,"linear",4
"bdld3_33_x6","model_4",0.86,77.22,0.2213,0.0034,0,4,2,5,"bdld3_33_x6_model_4",6,"none",0
"bdld3_34_x6","model_1",0.08,91.86,0.6765,0.4786,0.5896,87,78,1,"bdld3_34_x6_model_1",1,"linear",5
"bdld3_34_x6","model_5",0.09,90.03,0.6232,0.4532,0.5482,87,85,2,"bdld3_34_x6_model_5",1,"linear",5
"bdld3_34_x6","model_4",0.07,85.81,0.4574,0.2899,0.3452,70,60,3,"bdld3_34_x6_model_4",1,"linear",5
"bdld3_34_x6","model_3",0.09,83.84,0.4123,0.3012,0.3486,76,65,4,"bdld3_34_x6_model_3",1,"linear",5
"bdld3_34_x6","model_2",0.47,84.44,0.4051,0.3279,0.304,76,75,5,"bdld3_34_x6_model_2",2,"linear",5
"bdld3_35_x6","model_1",0.1,94.76,0.8882,0.7705,0.7772,117,123,1,"bdld3_35_x6_model_1",1,"CANDIDATE_low",4
"bdld3_35_x6","model_2",0.07,91.59,0.7492,0.6501,0.6731,108,118,2,"bdld3_35_x6_model_2",1,"CANDIDATE_low",4
"bdld3_35_x6","model_5",0.1,89.54,0.6181,0.4506,0.5347,89,82,3,"bdld3_35_x6_model_5",1,"linear",5
"bdld3_35_x6","model_3",0.08,87.24,0.5075,0.3632,0.4617,82,73,4,"bdld3_35_x6_model_3",1,"linear",5
"bdld3_35_x6","model_4",0.11,85.83,0.459,0.2993,0.3498,71,58,5,"bdld3_35_x6_model_4",2,"linear",5
"bdld3_36_x6","model_1",0.07,91.31,0.8141,0.692,0.7124,104,116,1,"bdld3_36_x6_model_1",1,"CANDIDATE_low",3
"bdld3_36_x6","model_2",0.1,83.99,0.6,0.5065,0.4568,105,110,2,"bdld3_36_x6_model_2",3,"CANDIDATE_low",3
"bdld3_36_x6","model_5",0.05,81.65,0.5941,0.5412,0.5026,88,97,3,"bdld3_36_x6_model_5",4,"CANDIDATE_low",2
"bdld3_36_x6","model_4",0.07,79.76,0.3358,0.2525,0.2731,75,70,4,"bdld3_36_x6_model_4",1,"linear",5
"bdld3_36_x6","model_3",1.35,68.89,0.2303,0.1483,0.0199,54,41,5,"bdld3_36_x6_model_3",6,"linear",2
"bdld3_37_x6","model_5",0.05,94.67,0.7885,0.624,0.7064,88,85,1,"bdld3_37_x6_model_5",1,"linear",5
"bdld3_37_x6","model_1",0.07,91.86,0.709,0.5474,0.6369,89,84,2,"bdld3_37_x6_model_1",1,"linear",5
"bdld3_37_x6","model_3",0.62,71.93,0.2412,0.0422,0.0017,16,10,3,"bdld3_37_x6_model_3",6,"none",0
"bdld3_37_x6","model_4",1.11,73.84,0.2212,0,0,0,0,4,"bdld3_37_x6_model_4",6,"none",0
"bdld3_37_x6","model_2",0.9,76.67,0.2185,0.0077,1e-04,6,4,5,"bdld3_37_x6_model_2",6,"none",0
"bdld3_38_x6","model_1",0.09,92.01,0.8281,0.683,0.7034,77,83,1,"bdld3_38_x6_model_1",4,"CANDIDATE_low",2
"bdld3_38_x6","model_5",0.04,88.26,0.5774,0.4216,0.5258,69,64,2,"bdld3_38_x6_model_5",1,"linear",5
"bdld3_38_x6","model_2",0.1,82.19,0.5058,0.436,0.358,66,63,3,"bdld3_38_x6_model_2",6,"CANDIDATE_low",2
"bdld3_38_x6","model_3",0.08,78.76,0.2999,0.1894,0.1014,37,28,4,"bdld3_38_x6_model_3",6,"linear",0
"bdld3_38_x6","model_4",5.1,77.18,0.2162,0.0223,2e-04,13,9,5,"bdld3_38_x6_model_4",6,"none",0
"bdld3_39_x6","model_1",0.08,94.21,0.8898,0.7318,0.7471,79,94,1,"bdld3_39_x6_model_1",3,"CANDIDATE_low",4
"bdld3_39_x6","model_2",0.06,91.61,0.7882,0.6425,0.6267,84,91,2,"bdld3_39_x6_model_2",2,"CANDIDATE_low",0
"bdld3_39_x6","model_3",0.14,93.76,0.7554,0.4633,0.5988,60,60,3,"bdld3_39_x6_model_3",1,"linear",0
"bdld3_39_x6","model_5",16.65,84.75,0.6212,0.5013,0.4198,76,80,4,"bdld3_39_x6_model_5",4,"CANDIDATE_low",3
"bdld3_39_x6","model_4",1.58,77,0.2248,0.0083,1e-04,6,3,5,"bdld3_39_x6_model_4",6,"none",0
"bdld3_40_x6","model_4",0.1,95.86,0.8649,0.7547,0.8405,115,110,1,"bdld3_40_x6_model_4",1,"linear",5
"bdld3_40_x6","model_2",0.08,96.28,0.8576,0.752,0.8369,116,111,2,"bdld3_40_x6_model_2",1,"linear",5
"bdld3_40_x6","model_1",0.08,94.88,0.8418,0.7407,0.8299,125,120,3,"bdld3_40_x6_model_1",1,"linear",5
"bdld3_40_x6","model_5",0.06,93.01,0.8351,0.7279,0.8132,120,109,4,"bdld3_40_x6_model_5",1,"linear",5
"bdld3_40_x6","model_3",0.1,93.49,0.803,0.705,0.7867,126,121,5,"bdld3_40_x6_model_3",1,"linear",5
"bdld3_41_x6","model_5",0.09,92.55,0.6927,0.4977,0.5942,70,64,1,"bdld3_41_x6_model_5",1,"linear",5
